continent,country,date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,outdoor,acc_case,acc_death,new_case,new_death,continent_marker
Europe,United Kingdom,2020-04-12,-76.85714285714286,-33.57142857142857,-20.285714285714285,-71.0,-67.85714285714286,25.0,-53.91428571428572,67098.28571428571,9523.0,5210.428571428572,917.1428571428571,3.9390084128921288
Europe,United Kingdom,2020-04-19,-75.71428571428571,-32.57142857142857,-19.428571428571427,-70.57142857142857,-66.0,25.0,-52.85714285714285,103862.71428571429,15903.714285714286,5112.571428571428,886.7142857142857,4.196605700162915
Europe,United Kingdom,2020-04-26,-73.71428571428571,-29.714285714285715,-4.285714285714286,-66.28571428571429,-61.42857142857143,23.428571428571427,-47.08571428571429,138577.2857142857,21800.428571428572,4681.857142857143,794.7142857142857,4.022780143022986
Europe,United Kingdom,2020-05-03,-74.42857142857143,-30.571428571428573,-24.0,-67.0,-60.285714285714285,23.142857142857142,-51.25714285714285,171583.0,26664.285714285714,4822.714285714285,627.2857142857143,3.995448332854328
Europe,United Kingdom,2020-05-10,-72.57142857142857,-26.142857142857142,1.4285714285714286,-64.28571428571429,-60.57142857142857,22.857142857142858,-44.42857142857144,205599.57142857142,30505.0,4654.857142857143,487.0,3.986660719439502
Europe,United Kingdom,2020-05-17,-69.57142857142857,-23.857142857142858,12.285714285714286,-60.285714285714285,-55.42857142857143,21.0,-39.371428571428574,233278.0,33522.42857142857,3501.714285714286,397.2857142857143,4.11773795685087
Europe,United Kingdom,2020-05-24,-66.28571428571429,-19.428571428571427,35.142857142857146,-57.142857142857146,-53.0,19.857142857142858,-32.142857142857146,252190.42857142858,35963.42857142857,2266.285714285714,308.14285714285717,4.009673521479318
Americas,United States,2020-02-16,6.5,1.5,15.5,2.5,1.0,-1.0,5.4,13.0,0.0,6.5,0.0,3.128471543368347
Americas,United States,2020-02-23,3.5714285714285716,0.42857142857142855,13.714285714285714,0.5714285714285714,-2.4285714285714284,0.7142857142857143,3.1714285714285713,13.857142857142858,0.0,0.2857142857142857,0.0,2.967408133080563
Americas,United States,2020-03-01,7.714285714285714,3.7142857142857144,12.0,4.142857142857143,2.5714285714285716,-0.7142857142857143,6.028571428571429,59.857142857142854,0.2857142857142857,8.428571428571429,0.14285714285714285,3.019604231197358
Americas,United States,2020-03-08,8.428571428571429,6.714285714285714,21.285714285714285,3.2857142857142856,2.857142857142857,-1.0,8.514285714285714,253.28571428571428,12.571428571428571,63.57142857142857,2.857142857142857,2.8981349068065283
Americas,United States,2020-03-15,1.8571428571428572,14.571428571428571,15.142857142857142,-6.428571428571429,-3.0,1.5714285714285714,4.428571428571429,1849.7142857142858,44.57142857142857,431.0,7.571428571428571,2.9633204605109205
Americas,United States,2020-03-22,-27.714285714285715,5.714285714285714,-0.2857142857142857,-33.0,-28.857142857142858,12.285714285714286,-16.82857142857143,15825.857142857143,291.0,4249.142857142857,73.28571428571429,2.977768487815768
Americas,United States,2020-03-29,-42.0,-15.428571428571429,-12.571428571428571,-48.142857142857146,-42.42857142857143,17.571428571428573,-32.114285714285714,87446.42857142857,1896.5714285714287,15375.714285714286,404.7142857142857,3.1108880417145173
Americas,United States,2020-04-05,-42.285714285714285,-14.714285714285714,-16.0,-50.42857142857143,-46.142857142857146,18.571428571428573,-33.91428571428572,247079.42857142858,8073.857142857143,27984.571428571428,1279.2857142857142,2.958315233807157
Americas,United States,2020-04-12,-45.714285714285715,-16.714285714285715,-16.0,-52.42857142857143,-49.0,19.285714285714285,-35.971428571428575,462050.5714285714,20207.428571428572,31215.85714285714,1958.7142857142858,3.0144733601701494
Americas,United States,2020-04-19,-41.714285714285715,-16.428571428571427,-18.285714285714285,-50.285714285714285,-45.285714285714285,18.428571428571427,-34.4,669201.4285714285,34840.57142857143,29070.85714285714,2122.714285714286,3.0324974909717453
Americas,United States,2020-04-26,-39.714285714285715,-14.428571428571429,-8.714285714285714,-48.0,-44.42857142857143,17.714285714285715,-31.057142857142857,873627.2857142857,49291.0,29568.0,1990.857142857143,3.0129981012744866
Americas,United States,2020-05-03,-33.857142857142854,-8.857142857142858,6.428571428571429,-43.42857142857143,-41.857142857142854,14.857142857142858,-24.314285714285713,1072021.7142857143,62504.42857142857,27465.0,1828.7142857142858,3.007809183456991
Americas,United States,2020-05-10,-29.571428571428573,-2.2857142857142856,7.142857142857143,-41.0,-39.0,14.428571428571429,-20.942857142857143,1256259.857142857,74943.42857142857,24460.0,1692.0,3.06348934358911
